Data/Hora,Segundos,Sensor1,Sensor2
2024-11-11 14:44:56,4169.93,21.25,22.00
2024-11-11 14:45:06,4179.99,21.75,21.75
2024-11-11 14:45:16,4190.01,21.25,22.00
2024-11-11 14:45:26,4200.02,21.50,22.00
2024-11-11 14:45:36,4210.04,21.50,21.25
2024-11-11 14:45:46,4220.07,21.75,21.75
2024-11-11 14:45:56,4230.08,21.50,22.00
2024-11-11 14:46:06,4240.09,21.75,21.75
2024-11-11 14:46:16,4250.13,21.50,22.00
2024-11-11 14:46:26,4260.14,21.50,21.75
2024-11-11 14:46:36,4270.16,22.00,22.00
2024-11-11 14:46:46,4280.17,21.75,22.25
2024-11-11 14:46:56,4290.19,21.75,22.50
2024-11-11 14:47:06,4300.23,21.50,22.00
2024-11-11 14:47:16,4310.23,22.00,22.00
2024-11-11 14:47:26,4320.25,21.50,22.50
2024-11-11 14:47:36,4330.27,21.75,22.50
2024-11-11 14:47:46,4340.34,21.75,22.25
2024-11-11 14:47:56,4350.39,21.75,21.75
2024-11-11 14:48:06,4360.43,21.75,22.50
2024-11-11 14:48:16,4370.45,22.00,22.50
2024-11-11 14:48:26,4380.48,22.00,22.25
2024-11-11 14:48:36,4390.49,22.00,22.25
2024-11-11 14:48:46,4400.54,21.50,22.00
2024-11-11 14:48:56,4410.63,21.50,22.00
2024-11-11 14:49:06,4420.67,21.50,22.00
2024-11-11 14:49:16,4430.76,21.50,22.25
2024-11-11 14:49:26,4440.81,22.00,22.25
2024-11-11 14:49:36,4450.82,22.00,22.50
2024-11-11 14:49:46,4460.83,21.75,22.50
2024-11-11 14:49:56,4470.85,22.00,22.50
2024-11-11 14:50:07,4480.94,22.00,22.00
2024-11-11 14:50:17,4491.00,22.00,22.50
2024-11-11 14:50:27,4501.05,22.25,22.25
2024-11-11 14:50:37,4511.15,22.00,22.25
2024-11-11 14:50:47,4521.16,22.00,22.75
2024-11-11 14:50:57,4531.20,22.00,22.50
2024-11-11 14:51:07,4541.21,22.00,22.25
2024-11-11 14:51:17,4551.23,21.50,22.75
2024-11-11 14:51:27,4561.24,22.00,22.25
2024-11-11 14:51:37,4571.27,22.25,22.50
2024-11-11 14:51:47,4581.28,22.25,22.50
2024-11-11 14:51:57,4591.30,22.25,22.25
2024-11-11 14:52:07,4601.39,22.25,22.50
2024-11-11 14:52:17,4611.46,22.25,22.75
